"id";"jobs";"firms";"salary";"nums"
694;"图像算法工程师";"西安盈谷网络科技有限公司";"0.6-1.2万/月";"41"
695;"深度学习工程师";"西安盈谷网络科技有限公司";"0.6-1.2万/月";"34"
696;"数据挖掘工程师";"西安盈谷网络科技有限公司";"0.7-1.4万/月";"24"
697;"DBA 数据库工程师";"西安盈谷网络科技有限公司";"0.7-1.4万/月";"33"
698;"Hadoop开发工程师";"西安盈谷网络科技有限公司";"0.7-1.4万/月";"22"
699;"软件测试工程师（西安）";"深圳市有方科技股份有限公司";"0.8-1.2万/月";"293"
700;"高级软件测试工程师（西安）";"深圳市有方科技股份有限公司";"0.8-1.2万/月";"186"
701;"软件测试工程师";"深圳市理邦精密仪器股份有限公司";"0.7-1万/月";"195"
702;"数据分析员";"西安亚购信息科技有限公司";"4-8千/月";"31"
703;"运维工程师";"西安亚购信息科技有限公司";"5-8千/月";"80"
704;"IT技术支持";"西安亚购信息科技有限公司";"3-5千/月";"43"
705;"大数据开发组长";"西安亚购信息科技有限公司";"1.5-2万/月";"31"
706;"C++中级软件工程师";"江苏锐天信息科技有限公司西安分公司";"0.8-1.1万/月";"19"
707;"C++高级软件工程师";"江苏锐天信息科技有限公司西安分公司";"1.2-1.6万/月";"41"
708;"A311-1WE前端开发";"西安卓睿信息技术有限公司";"4.5-6千/月";"18"
709;"Web前端开发工程师";"西安卓睿信息技术有限公司";"4.5-6千/月";"106"
710;"（某500强知名企业）三维重建算法工程师";"西安瀚特人力资源有限公司";"2-2.5万/月";"20"
711;"（某500强知名企业）立体视觉算法工程师";"西安瀚特人力资源有限公司";"2-2.5万/月";"16"
712;"（某500强知名企业）软件配置管理SCM";"西安瀚特人力资源有限公司";"1-1.5万/月";"9"
713;"（某500强知名企业）Docker高级开发工程师";"西安瀚特人力资源有限公司";"1-1.5万/月";"17"
714;"（某500强知名企业）大数据运维工程师";"西安瀚特人力资源有限公司";"1-1.5万/月";"27"
715;"（某500强知名企业）云业务架构师";"西安瀚特人力资源有限公司";"1.5-2万/月";"25"
716;"Web开发工程师（西安）";"绿盟科技";"0.8-1.5万/月";"35"
717;"资深软件研发工程师（西安）";"绿盟科技";"1-1.5万/月";"28"
718;"Linux中级软件工程师";"深圳市德卡科技股份有限公司";"0.6-1万/月";"17"
719;"Linux高级软件工程师";"深圳市德卡科技股份有限公司";"1-1.5万/月";"27"
720;"嵌入式初级开发工程师（C语言）";"深圳市德卡科技股份有限公司";"4-6千/月";"34"
721;"WEB测试工程师";"上海数果科技有限公司";"0.5-1万/月";"61"
722;"大数据开关工程师";"深圳市讯方技术股份有限公司";"1-1.5万/月";"63"
723;"测试工程师";"上海思华科技股份有限公司";"0.8-1.2万/月";"162"
724;"Docker开发工程师";"上海思华科技股份有限公司";"1-1.5万/月";"12"
725;"产品经理";"上海思华科技股份有限公司";"1-2万/月";"38"
726;"SDN开发工程师";"上海思华科技股份有限公司";"1-1.5万/月";"13"
727;"监控运维开发工程师";"上海思华科技股份有限公司";"1.5-2万/月";"29"
728;"存储工程师";"上海凯翔信息科技有限公司";"1-1.5万/月";"19"
729;"云计算现场实施工程师";"上海思华科技股份有限公司";"0.6-1.2万/月";"31"
730;"TPCE-Test Engineer(BURN)";"美光半导体（西安）有限责任公司";" ";"22"
731;"TPCE-Test Engineer(Module)";"美光半导体（西安）有限责任公司";"1-1.5万/月";"26"
732;"TPCE-Test Engineer(system level test)";"美光半导体（西安）有限责任公司";" ";"46"
733;"java开发（人工智能大数据方向）接受0基础";"陕西养正文化发展有限公司";"3-4.5千/月";"37"
734;"大数据开发实习生";"陕西养正文化发展有限公司";"4.5-6千/月";"61"
735;"Web前端开发工程师";"西安道恩网络科技有限公司";"0.7-1.4万/月";"54"
736;"项目实施（实习生）";"西安翼展电子科技有限公司";"100元/天";"58"
737;"算法工程师（数据清洗方向）";"紫光陕数大数据有限公司";"0.8-1.2万/月";"24"
738;"算法工程师（机器学习方向）";"紫光陕数大数据有限公司";"1-1.5万/月";"47"
739;"高级nodeJs工程师";"陕西维纳传媒股份有限公司";"0.8-1.5万/月";"11"
740;"高级PHP工程师";"陕西维纳传媒股份有限公司";"0.8-1.5万/月";"24"
741;"Web前端工程师";"陕西维纳传媒股份有限公司";"0.6-1万/月";"45"
742;"软件测试工程师";"三星数据系统（西安）有限公司";"0.7-1万/月";"282"
743;"大数据算法工程师";"深圳市易流科技股份有限公司";"1.5-2.5万/月";"47"
744;"Senior Verification Engineer/高级芯片验证工程师";"顺卓微电子（西安）有限公司";"2-3万/月";"24"
745;"中级测试工程师";"北京华软金科信息技术有限公司";"0.8-1万/月";"22"
746;"Java高级开发工程师";"北京华软金科信息技术有限公司";"1-1.5万/月";"15"
747;"Java开发工程师";"北京华软金科信息技术有限公司";"0.8-1万/月";"30"
748;"自动化测试工程师";"北京华软金科信息技术有限公司";"0.8-1万/月";"56"
749;"中级测试工程师（总账数据方向）";"北京华软金科信息技术有限公司";"0.8-1万/月";"81"
750;"二进制研究员";"西安中科创星科技孵化器有限公司";"1.5-2万/月";"15"
751;"C++编程讲师";"上海傲梦网络科技有限公司";"400元/天";"19"
752;"C语言老师";"上海傲梦网络科技有限公司";"6-8千/月";"16"
753;"Linux c开发工程师";"江苏润和软件股份有限公司";"1-1.5万/月";"49"
754;"运维工程师";"陕西星邑空间技术有限公司";"1-1.5万/月";"78"
755;"大数据开发工程师";"杭州世平信息科技有限公司";"0.8-1.5万/月";"48"
756;"C++开发工程师";"杭州世平信息科技有限公司";"0.7-1.4万/月";"48"
757;"大数据工程师（业务方向）";"陕西晟运通科技有限公司";"1.5-2.5万/月";"18"
758;"大数据工程师（平台方向）";"陕西晟运通科技有限公司";"1.5-2.5万/月";"46"
759;"高级PHP开发工程师";"陕西晟运通科技有限公司";"1.5-2.5万/月";"26"
760;"Unity3D开发工程师";"西安灵境科技有限公司";"0.6-1.2万/月";"43"
761;"RD-数据标记实习生";"TCL集团工业研究院";"100元/天";"40"
762;"初级存储研发工程师";"次元境界科技（北京）有限公司";"10-15万/年";"19"
763;"算法工程师";"广州亿程交通信息集团有限公司";"0.8-1.6万/月";"37"
764;"测试经理";"酷渲（北京）科技有限公司";"0.8-1.2万/月";"31"
765;"WEB前端开发+双休+五险一金+应届生";"西安达文信息技术有限公司";"4-6千/月";"88"
766;"Web前端设计师";"陕西九鼎通信技术有限公司";"0.8-1万/月";"32"
767;"立体视觉算法工程师-XA";"深圳奥比中光科技有限公司";"1.5-3万/月";"13"
768;"Software engineer";"苏州联讯仪器有限公司";"0.6-1万/月";"38"
769;"C/C++高级开发工程师";"西安三茗科技股份有限公司";"0.8-1.5万/月";"51"
770;"网络安全培训讲师";"奇虎360科技有限公司";"1.5-2万/月";"63"
771;"大数据解决方案开发工程师";"奇虎360科技有限公司";" ";"43"
772;"SAAS产品经理";"西安因联信息科技有限公司";"1.5-2.5万/月";"25"
773;"软件测试工程师（高级）";"西安图迹信息科技有限公司";"0.8-1万/月";"244"
774;"中级软件运维人员";"三门峡崤云信息服务股份有限公司";"4-8千/月";"11"
775;"高级云平台运维工程师";"三门峡崤云信息服务股份有限公司";"0.8-1.5万/月";"14"
776;"中级软件运维人员";"三门峡崤云信息服务股份有限公司";"0.8-1.5万/月";"14"
777;"Python开发工程师（实习生）";"陕西速橘丰信息科技有限公司";"4.5-6千/月";"115"
778;"Hadoop开发工程师";"西安环太科技发展有限公司";"5-8千/月";"15"
779;"高级测试工程师";"深圳市广和通无线股份有限公司";"0.7-1.4万/月";"119"
780;"系统运维工程师(000974)";"启迪国信科技有限公司";"1-1.5万/月";"93"
781;"软件工程师（校园招聘）";"陕西亚成微电子股份有限公司";"0.8-1万/月";"74"
782;"大数据开发工程师";"北京华洋宏软件开发有限责任公司";"1-2万/月";"30"
