"id";"jobs";"firms";"salary";"nums0"
256;"网络（IT）运维工程师";"中兴发展有限公司";"6-8千/月";"若干"
257;"维护工程师（桌面运维）";"广东地球村计算机系统股份有限公司";"3-4.5千/月";"2"
258;"机房运维工程师（韩语/朝鲜语）";"网宿科技股份有限公司";"6-8千/月";"若干"
259;"新媒体运维/营销策划经理";"深圳道里广告有限公司";"0.8-1万/月";"若干"
260;"高级运维工程师";"深圳碳原子科技有限公司";"1.5-2.5万/月";"1"
261;"运维工程师 区块链(职位编号：01)";"国鼎鸿（深圳）区块链技术有限公司";"1-1.5万/月";"2"
262;"IT运维专员/副主任（龙华星河iCO）";"深圳市星河商用置业股份有限公司";"4.5-6千/月";"1"
263;"Linux运维工程师";"深圳市华创科新科技有限公司";"1-1.5万/月";"2"
264;"研发运维 DevOps";"深圳普瑞生科技有限公司";"6-8千/月";"2"
265;"运维工程师";"深圳市九州传媒科技有限公司";"0.6-1.2万/月";"1"
266;"配置管理员/运维工程师";"百富计算机技术（深圳）有限公司";"0.8-1.5万/月";"1"
267;"linux运维工程师(职位编号：yyjr000340)";"用友金融信息技术股份有限公司";"1-1.5万/月";"2"
268;"IT桌面运维专员";"深圳市彩虹奥特姆科技有限公司";"0.8-1万/月";"1"
269;"数据库运维工程师";"深圳市安华计算机有限公司";"1-1.5万/月";"1"
270;"运维工程师";"深圳罗马仕科技有限公司";"0.8-1.5万/月";"1"
271;"IDC运维助理";"深圳市朗�h科技有限公司";"5.5-8千/月";"1"
272;"产品运维";"深圳国开创新科技有限公司";"1-1.5万/月";"2"
273;"运维工程师";"深圳市辉腾金融控股有限公司";"4-7千/月";"1"
274;"游戏运维工程师";"武汉昊飞网络科技有限公司";"1.1-2.2万/月";"若干"
275;"运维工程师";"深圳市佳能宝节能环保科技有限公司";"1-1.5万/月";"1"
276;"运维开发工程师";"深圳市瑞云科技有限公司";"1-2万/月";"1"
277;"游戏运维工程师";"凯撒（中国）文化股份有限公司";"1-2万/月";"1"
278;"系统监控运维";"深圳市鼎驰科技发展有限公司";"0.7-1.1万/月";"2"
279;"运维工程师";"国民国际集团有限公司";"1-1.5万/月";"1"
280;"诚聘桌面运维工程师（7K-10K）";"深圳市荣超智联信通科技有限公司";"0.7-1万/月";"2"
281;"运维工程师";"深圳市范特西科技有限公司";"1-1.5万/月";"2"
282;"电梯运维班长/技工（汉京中心）";"深圳市汉京物业服务有限公司";"6-8千/月";"2"
283;"高级运维工程师";"北京国双科技有限公司";"1.5-2万/月";"1"
284;"运维主管";"深圳市思贝克集团有限公司";"1.5-2万/月";"1"
285;"运维工程师";"深圳朗安信息科技有限公司";"1-2万/月";"若干"
286;"网络运维专员";"深圳市晖耀电线电缆有限公司";"0.6-1万/月";"1"
287;"网络运维工程师/网络管理员";"深圳市秀时代文化传媒有限公司";"4.5-6千/月";"1"
288;"运维工程师-事业一部-业务四部-深圳";"广东道一信息技术股份有限公司";"0.5-1万/月";"1"
289;"运维工程师";"深圳市卓宝科技股份有限公司";"0.7-1万/月";"2"
290;"Linux运维工程师";"中亚置业集团有限公司";"0.8-1.2万/月";"1"
291;"系统运维岗（PB交易系统方向）";"安信证券股份有限公司";"1.5-2万/月";"若干"
292;"系统运维工程师（深圳移动）";"深圳市奥怡轩实业有限公司";"0.8-1万/月";"1"
293;"运维工程师";"象无形（上海）信息科技有限公司";"1-2万/月";"3"
294;"运维/实施技术工程师（linux+数据库）";"深圳市讯方技术股份有限公司";"0.8-1.2万/月";"1"
295;"系统运维工程师";"深圳市亚洲视讯卫视传媒有限公司";"0.8-1万/月";"1"
296;"运维工程师";"北京联龙博通电子商务技术有限公司";"0.8-1万/月";"2"
297;"运维部署工程师";"深圳蚂蚁空间网络科技有限公司";"4.5-6千/月";"1"
298;"硬件运维助理";"友宝深圳";"4.5-6千/月";"1"
299;"运维工程师（双休/宝安兴东/五险一金）";"深圳友宝科斯科技有限公司";"5-7千/月";"2"
300;"信息安全工程师（安全运维方向）";"格创东智（深圳）科技有限公司";"1-2万/月";"1"
301;"运维工程师";"深圳市嵘兴实业发展有限公司";"6-8千/月";"2"
302;"高级运维工程师";"深圳市金锐显数码科技有限公司";"1.3-1.6万/月";"1"
303;"IT技术支持工程师（运维工程师）";"村田电子贸易（深圳）有限公司";"6-8千/月";"1"
304;"运维客服";"云智汇（深圳）高新科技服务有限公司";"4.5-6千/月";"1"
305;"Oracle EBS 供应链运维顾问";"深圳市鑫荣懋农产品股份有限公司";"1.7-3万/月";"1"
306;"运维工程师";"纳万国际融资租赁（深圳）有限公司";"1.2-2.5万/月";"1"
307;"运维经理";"深圳市媒讯投资控股有限公司";"1-1.5万/月";"1"
308;"大数据运维工程师";"深圳市东恒尚科信息技术有限公司";"0.8-1.2万/月";"5"
309;"高级运维工程师";"深圳航天信息有限公司";"1.3-1.8万/月";"2"
310;"运维工程师-深圳";"上海甲丙信息科技有限公司";"6-8千/月";"若干"
311;"设施运维工程师";"北京世纪互联宽带数据中心有限公司";"6-8千/月";"若干"
312;"运维工程师";"深圳市众诚品业科技有限公司";"6-8千/月";"2"
313;"运维工程师";"东软云科技有限公司";"0.9-1.2万/月";"1"
314;"高级运维工程师/运维主管";"深圳天天看看信息技术有限公司";"1.2-2万/月";"若干"
315;"大数据系统运维工程师";"卫盈联信息技术（深圳）有限公司";"1.5-2万/月";"1"
316;"税后薪资-业务运维/游戏运维";"深圳市佳农投资发展有限公司";"1.5-3万/月";"2"
317;"运维工程师";"深圳市睿联数字技术有限公司";"1-1.5万/月";"1"
318;"软件运维工程师";"佛山市富村电子科技有限公司";"0.8-1万/月";"2"
319;"运维专员";"比户环保科技（深圳）有限公司";"4.5-6.5千/月";"1"
