"id";"jobs";"firms";"salary";"nums0"
1038;"无责底薪4500+公寓管家+住宿+综合8K";"乐美思贸易（深圳）有限公司";"0.8-1万/月";"20"
1039;"技术工程师";"陕西兆通利合数码有限公司";"3-4.5千/月";"2"
1040;"底薪4.5K+管家+包住+综合8K";"深圳思倍思文化有限公司";"0.8-1万/月";"15"
1041;"底薪4.5K+公寓管家+包住";"深圳前海华字号国际供应链有限公司";"0.8-1.2万/月";"8"
1042;"技术总监";"西安格蒂电力有限公司";"2-2.5万/月";"1"
1043;"信息安全技术工程师";"北京优炫软件股份有限公司";"0.8-1万/月";"1"
1044;"算法维护工程师(算法类)(职位编号：uniview000900)";"浙江宇视科技有限公司";"6-8千/月";"5"
1045;"项目工程师（西宁驻场）";"阳光雨露信息技术服务（北京）有限公司";"3-3.5千/月";"3"
1046;"初级/中级/高级/软件/硬件/网络/工程师";"西安云间信息科技有限公司";"0.8-1万/月";"3"
1047;"系统集成工程师";"西安启望计算机系统工程有限责任公司";"4.5-6千/月";"1"
1048;"技术副总";"西安启望计算机系统工程有限责任公司";"0.8-1万/月";"1"
1049;"云管理系统软件开发工程师";"华为技术有限公司";"1.3-2万/月";"25"
1050;"蓝狮计划（2019校园招聘）";"上海趣医网络技术服务有限公司";"0.8-1.5万/月";"50"
1051;"数据库工程师";"西安格蒂电力有限公司";"1-1.5万/月";"1"
1052;"NC实施顾问";"西安格蒂电力有限公司";"0.8-1万/月";"8"
1053;"事业部副总经理";"西安格蒂电力有限公司";"1-1.5万/月";"1"
1054;"JS工程师";"东方网力科技股份有限公司";"1-2万/月";"10"
1055;".NET开发工程师（新疆）";"西安斯普德科技有限公司";"4.5-6千/月";"若干"
